ASUID,courseID
1920275710,22
1920275710,41
1920275710,5
1920275710,4
1340580601,7
1340580601,41
1340580601,34
1340580601,24
1340580601,4
1701322888,5
1701322888,27
1701322888,34
1013457763,20
1013457763,16
1013457763,25
1013457763,6
1022017127,27
1022017127,41
1022017127,25
1022017127,4
1132809582,27
1132809582,19
1132809582,39
1132809582,30
1309116767,12
1309116767,19
1309116767,37
1121582651,23
1121582651,28
1121582651,27
1121582651,24
1842524563,4
1842524563,3
1842524563,9
1842524563,1
1842524563,23
1842524563,11
1534644354,17
1534644354,40
1534644354,1
1472663594,25
1472663594,15
1472663594,16
1472663594,30
1472663594,43
1472663594,12
1947287219,19
1947287219,14
1947287219,36
1280589391,23
1280589391,46
1280589391,48
1280589391,15
1280589391,30
1280589391,11
1746881835,11
1746881835,27
1746881835,21
1746881835,47
1746881835,46
1746881835,19
1405904288,27
1405904288,49
1405904288,32
1240024044,44
1240024044,24
1240024044,6
1240024044,32
1240024044,12
1240024044,41
1965810421,13
1965810421,33
1965810421,10
1613477171,9
1613477171,34
1613477171,1
1747394756,3
1747394756,45
1747394756,33
1747394756,36
1482647691,10
1482647691,43
1482647691,26
1482647691,11
1482647691,24
1943679101,1
1943679101,45
1943679101,47
1943679101,5
1099551026,24
1099551026,4
1099551026,32
1099551026,19
1686948629,46
1686948629,25
1686948629,8
1686948629,16
1686948629,27
1931257019,6
1931257019,24
1931257019,50
1931257019,21
1931257019,31
1931257019,27
1568828363,29
1568828363,6
1568828363,12
1568828363,25
1939363342,31
1939363342,46
1939363342,43
1202609917,23
1202609917,21
1202609917,34
1049162329,40
1049162329,16
1049162329,10
1049162329,11
1049162329,26
1049162329,17
1851519573,11
1851519573,17
1851519573,1
1851519573,13
1851519573,12
1851519573,41
1109034381,47
1109034381,15
1109034381,13
1109034381,16
1109034381,23
1806054876,49
1806054876,4
1806054876,39
1806054876,2
1806054876,20
1806054876,11
1378589250,29
1378589250,19
1378589250,21
1934684736,49
1934684736,2
1934684736,27
1934684736,40
1934684736,24
1037478604,35
1037478604,22
1037478604,12
1037478604,34
1037478604,25
1037478604,15
1294600347,45
1294600347,3
1294600347,5
1294600347,4
1294600347,25
1294600347,36
1756586659,1
1756586659,18
1756586659,14
1756586659,33
1077423275,37
1077423275,22
1077423275,1
1316541024,43
1316541024,39
1316541024,26
1316541024,49
1600629587,19
1600629587,18
1600629587,34
1600629587,29
1237824025,45
1237824025,28
1237824025,41
1237824025,2
1237824025,34
1237824025,16
1989955882,36
1989955882,11
1989955882,40
1482162329,49
1482162329,2
1482162329,3
1195174430,35
1195174430,19
1195174430,13
1195174430,31
1195174430,5
1195174430,6
1312604806,32
1312604806,14
1312604806,36
1312604806,28
1855333405,6
1855333405,9
1855333405,22
