ASUID,clubID
1486787189,1
1254669760,1
1435939159,1
1882147017,1
1898615799,1
1126698548,1
1928396687,1
1491053351,1
1584883790,1
1931257019,1
1310791970,1
1246633490,1
1137399086,1
1347393558,1
1337151295,2
1769360880,2
1238567046,2
1773051095,2
1598897982,2
1105986682,2
1441149898,2
1432583643,2
1067923842,2
1222635317,2
1309116767,2
1898615799,2
1373172197,2
1703196173,3
1928951321,3
1080968039,3
1009234900,3
1891611223,3
1726958738,3
1030263163,3
1894549990,3
1920275710,3
1878882996,4
1819785287,4
1820031865,4
1722882387,4
1214531494,4
1817510494,4
1693864426,4
1080968039,4
1920275710,4
1842320733,4
1260777937,4
1483161297,4
1099807537,4
1165255992,4
1505237836,4
1996638868,4
1574190861,4
1340580601,4
1777487517,5
1489982040,5
1773956931,5
1257034834,5
1895222707,5
1956302454,5
1854065122,5
1445357699,6
1177186128,6
1841648797,6
1975246468,6
1464566007,6
1249522619,7
1321247417,7
1532984473,7
1230919493,7
1343755223,7
1667057909,7
1001605084,7
1882977063,7
1327264393,7
1741545461,7
1480030321,7
1101932413,7
1387801982,7
1959026424,7
1674958975,7
1367748909,7
1909953609,8
1583156337,8
1163494629,8
1311961718,8
1364349125,8
1457198273,8
1280342689,8
1717261108,8
1782635031,8
1998382774,8
1217070379,8
1962819630,8
1496594210,8
1913119060,8
1643823634,8
1262504787,8
1679755967,8
1228177468,8
1876491183,8
1576300267,9
1106392526,9
1177691816,9
1424222123,9
1646152181,9
1093495540,9
1911474872,10
1709187526,10
1207283904,10
1362940816,10
1043220090,10
1806054876,10
1117997052,10
1292244153,10
1694790146,10
1837223258,10
1668359372,10
1897767352,10
1341893333,10
1687592828,10
1629715988,10
1747098210,10
1217150605,10
1164303693,10
1224695313,11
1778533965,11
1551099414,11
1343755223,11
1140855393,11
1037021552,11
1615089059,12
1182444578,12
1972879130,12
1717509459,12
1387801982,12
1532053643,12
1429849083,12
1553013884,12
1435995798,12
1736983621,12
1994890460,12
1574190861,12
1351778914,12
1218952581,12
1777487517,12
1592325765,12
1627411524,12
1894945070,13
1050967661,13
1100800966,13
1348152801,13
1518445648,13
1466556889,13
1289505937,13
1145052309,13
1643823634,14
1177691816,14
1568767738,14
1061077116,14
1498736508,14
1266522493,14
1756586659,14
1095730711,14
1337151295,14
1513719144,14
1976076897,14
1250889447,14
1009439267,14
1399705684,15
1076648554,15
1967342937,15
1103618648,15
1122351764,15
1205119623,15
1882147017,15
1228805838,15
1405904288,15
1662565308,15
1137399086,15
1776757744,16
1309632630,16
1361386200,16
1614814301,16
1023207565,16
1684882352,16
1305958391,16
1513098784,16
1406866484,16
1931257019,16
1009234900,16
1054184630,16
1345381213,16
1163494629,16
1496594210,16
1938126771,16
1584883790,16
1206558964,16
1049807725,16
1429849083,16
1424222123,17
1401648475,17
1044365141,17
1388431384,17
1281325133,17
1716473969,17
1246633490,18
1499551312,18
1573504388,18
1382539002,18
1491053351,18
1425190839,18
1923705190,18
1482162329,18
1519480298,18
1996870002,18
1662565308,18
1451974023,18
1241749403,18
1523858900,18
1459135299,18
1221293190,18
1524207394,18
1912859023,18
1499380100,18
1399705684,18
1358258607,19
1987269219,19
1721103604,19
1019466683,19
1250889447,19
1643650260,19
1466224941,19
1325098809,19
1148775459,19
1479155952,19
1683212031,19
1782330665,19
1249522619,20
1494479626,20
1030263163,20
1935790963,20
1241749403,20
1455208918,20
1776757744,20
1258920606,20
1741545461,20
1721103604,20
1692179845,20
1667057909,20
1687700628,20
1248437543,20
1238350507,20
1681171986,20
1918055225,20
1877496896,20
1996638868,20
1265587838,21
1106392526,21
1126698548,21
1126639078,21
1296589897,21
1339006051,21
1452705951,21
1548551546,21
1775614818,22
1703196173,22
1717202897,22
1358258607,22
1347393558,22
1005129584,22
1056281832,22
1912859023,22
1567881598,22
1325098809,22
1782635031,22
1686713551,23
1343755223,23
1882977063,23
1156780562,23
1131292006,23
1900086013,23
1263414261,23
1771424788,23
1779082503,23
1882147017,23
1535610920,23
1668359372,23
1466556889,23
1381903879,23
1842320733,23
1644011772,23
1942177921,23
1895222707,23
1516045442,23
1760367717,24
1823092426,24
1252631970,24
1032900804,24
1809215648,24
1024437665,24
1702361569,24
1776757744,24
1001263160,24
1435939159,24
1128598864,24
1464180617,24
1284431719,24
1106392526,24
1232806678,25
1054184630,25
1328441337,25
1585586233,25
1702820690,25
1919768583,25
1148775459,25
1701423212,25
1837223258,25
1249522619,25
1086398930,25
1145052309,25
1419816316,25
1027600727,25
1520810048,26
1687700628,26
1782330665,26
1811561209,26
1841648797,26
1739275556,26
1218952581,26
1844668637,26
1643081419,26
1818650680,26
1347393558,26
1027814322,26
1980599750,27
1507951463,27
1779013235,27
1523858900,27
1614814301,27
1961556035,27
1145052309,27
1841648797,27
1965810421,27
1467509677,27
1011467719,27
1352361444,27
1302452481,27
1529463433,27
1483161297,28
1621486336,28
1942177921,28
1392625865,28
1000962793,28
1628092506,28
1535011322,28
1533244813,28
1051717690,28
1760367717,28
1169909181,28
1056281832,28
1391560087,28
1532466866,28
1841648797,28
1214531494,28
1022017127,29
1142728234,29
1511750197,29
1399958829,29
1350283767,29
1615874718,29
1615089059,29
1709736711,29
1835958721,29
1844106054,29
1395078887,30
1585177519,30
1435843029,30
1128598864,30
1878232945,30
1345402805,30
1913550074,30
1429849083,30
1548551546,30
1743497067,30
1399958829,30
1532053643,30
1041246943,30
1701347348,30
1935241747,30
1634108568,30
1050967661,30
