ASUID,courseID
1870006940,31
1488735989,43
1488735989,7
1983425982,21
1983425982,42
1983425982,33
1375938082,33
1375938082,37
1136465024,3
1136465024,37
1669035396,47
1669035396,41
1051737124,27
1553976715,17
1553976715,30
1915395464,38
1284750552,43
1284750552,13
1284750552,3
1855765532,40
1855765532,24
1210007656,13
1210007656,28
1191538661,34
1191538661,22
1191538661,6
1055241749,46
1055241749,24
1055241749,5
1201187969,18
1201187969,27
1201187969,26
1032335473,20
1769224193,14
1769224193,13
1769224193,21
1382831028,46
1382831028,24
1382831028,9
1519125588,12
1519125588,2
1519125588,1
1628122507,47
1628122507,40
1459619983,25
1459619983,40
1808164087,48
1808164087,15
1012997734,28
1012997734,22
1012997734,1
1142456804,44
1142456804,45
1142456804,29
1205830939,26
1205830939,9
1590379903,3
1590379903,9
1590379903,26
1473012269,9
1473012269,40
1473012269,35
1992627868,29
1992627868,43
1992627868,19
1561312412,44
1561312412,25
1227206151,40
1227206151,18
1227206151,31
1020826629,43
1020826629,23
1020826629,28
1540786720,7
1540786720,3
1288372226,8
1288372226,11
1925782340,29
1072604255,6
1211742553,37
1211742553,28
1211742553,49
1279159852,43
1279159852,1
1279159852,26
1402083314,23
1402083314,36
1399463370,2
1744903360,6
1255443685,44
1255443685,48
1843307386,43
1631429239,9
1631429239,18
1631429239,47
1814955371,48
1454597691,47
1454597691,42
1454597691,45
1839053910,44
1839053910,36
1982571814,34
1982571814,9
1982571814,30
1224376903,50
1224376903,26
1224376903,19
1232228529,32
1885872118,25
1885872118,14
1408302071,16
1851282027,33
1851282027,2
1851282027,10
1271477746,42
1948660259,24
1873355030,7
1541711231,35
1842458034,32
1626880205,36
1626880205,31
1626880205,40
1463070120,24
1463070120,5
1070774009,38
1070774009,36
1586034164,38
1586034164,40
1586034164,4
1341914215,16
1341914215,28
1833667656,16
1833667656,37
1218809284,31
1218809284,8
1218809284,9
1636345348,36
1461356594,17
1461356594,29
1437289567,8
1958123980,48
1617087139,22
1302414209,19
1302414209,16
1302414209,47
1605354368,29
1605354368,10
1276744804,12
1276744804,14
1292459095,5
1292459095,18
1817434258,20
1817434258,14
1817434258,45
1510783618,1
1510783618,43
1303708888,21
1303708888,38
1303708888,3
1611731793,17
1611731793,4
1912513619,32
1912513619,33
1923150427,5
1923150427,45
1923150427,7
1649730845,32
1649730845,12
1649730845,11
1889191114,12
1889191114,9
1889191114,46
1183388699,41
1183388699,33
1586942332,26
1586942332,47
1586942332,50
1444013766,12
1621461198,22
1621461198,11
1117201726,40
1117201726,23
1117201726,30
1647666792,19
1010324242,21
1877076607,42
1877076607,43
1877076607,4
1996834557,23
1996834557,40
1996834557,34
1275664407,37
1275664407,22
1826009697,4
1826009697,8
1826009697,19
1854402930,38
1144868100,43
1144868100,31
1144868100,48
1817750570,39
1817750570,10
1817750570,36
1379769553,4
1379769553,10
1379769553,21
1022026177,31
1022026177,29
1233224420,46
1233224420,50
1233224420,43
1400196926,25
1424246291,15
1424246291,39
1065594524,24
1491678979,10
1166234447,21
1166234447,38
1166234447,42
1529693625,18
1529693625,16
1042764604,8
1042764604,46
1042764604,48
1454400230,4
1704624545,19
1704624545,22
1415999439,38
1415999439,4
1415999439,14
1252167759,26
1252167759,13
1621164839,24
1203311188,13
1475765477,8
1066827044,10
1772390512,7
1772390512,28
1772390512,24
1989199966,9
1576183744,5
1576183744,6
1075478711,10
1862213009,46
1862213009,6
1268264421,11
1268264421,34
1015481437,31
1015481437,40
1147880748,2
1147880748,27
1845880735,31
1845880735,42
1845880735,7
1438889718,17
1438889718,47
1742068112,11
1742068112,17
1742068112,41
1276919011,47
1276919011,25
1276919011,24
1212418731,2
1165320334,32
1165320334,5
1165320334,39
1708156161,36
1708156161,3
1708156161,5
1631668485,46
1631668485,11
1631668485,48
1637416007,30
1026887357,10
1860361876,8
1555584925,45
1078773319,10
1078773319,42
1630996232,30
1530484454,9
1530484454,49
1271111037,1
1271111037,47
1038412344,41
1038412344,21
1038412344,15
1872624771,39
1872624771,26
1872624771,38
1724299460,31
1724299460,20
1842643254,28
1842643254,2
1539543137,12
1539543137,23
1539543137,44
1768276207,27
1768276207,41
1675724105,7
1675724105,27
1675724105,33
1531650806,8
1531650806,45
1531650806,25
1927433971,25
1927433971,47
1285724248,18
1793195862,8
1793195862,4
1793195862,9
1370975609,10
1628084263,33
1628084263,1
1628084263,45
1707231139,9
1985684201,14
1985684201,33
1594661993,27
1040309684,42
1040309684,37
1914039201,47
1914039201,46
1269666612,28
1269666612,6
1269666612,42
1166552134,47
1166552134,35
1630154206,27
1630154206,37
1630154206,10
1731376724,17
1731376724,7
1126368215,24
1126368215,23
1914062681,33
1914062681,44
1914062681,22
1104764823,50
1104764823,35
1104764823,4
1107822832,30
1107822832,35
1107822832,48
1964556659,34
1964556659,27
1964556659,46
1681226485,8
1902301394,2
1902301394,39
1582994008,12
1582994008,16
1707042562,12
1707042562,32
1564427426,21
1564427426,36
1564427426,29
1810351369,15
1568104398,50
1568104398,1
1530872921,42
1530872921,16
1230482344,4
1230482344,8
1739123186,38
1739123186,27
1854470949,43
1080574921,15
1080574921,11
1080574921,2
1896129808,25
1142001286,15
1142001286,35
1285824967,25
1285824967,12
1887534235,23
1887534235,42
1887534235,8
1331368426,3
1351562112,49
1351562112,18
1381198294,50
1381198294,34
1834235895,26
1834235895,36
1781063307,25
1781063307,30
1916857543,16
1485602342,36
1485602342,6
1258344278,7
1258344278,17
1009692199,33
1379758248,18
1338202758,40
1338202758,7
1750457356,40
1215720278,29
1215720278,18
1342016299,3
1342016299,29
1342016299,20
1768505224,10
1674271872,26
1674271872,7
1674271872,19
1588872438,30
1072191014,14
1072191014,48
1072191014,17
1269091620,7
1269091620,37
1270703967,43
1270703967,46
1270703967,21
